"Reported road collisions by contributory factor and local authority, Great Britain, 10 years up to 2021",,,,,,
"This worksheet contains two tables, separated by a blank column. Some cells refer to notes which can be found on the notes worksheet.",,,,,,
Some cells in the 'Code_Local authority' field are labelled with 'no data' because they do not have an ONS identifier code. ,,,,,,
"Filters are active in row 5 and may hide some data. To turn off all filters select the ‘Data’ ribbon then ‘Filters’ button or use [Ctrl, Shift, L]’. ",,,,,,
Section,Contributory factor reported in accident [note 1],Region (ONS code),Region (name),Local authority (ONS code),Local authority (name),2020
Driver or rider error or reaction,Swerved,E12000002,North West,E10000006,Cumbria,10
Driver or rider error or reaction,Loss of control,E12000002,North West,E10000006,Cumbria,74
Impairment or distraction,Impairment or distraction,E12000002,North West,E10000006,Cumbria,113
Impairment or distraction,Driver/Rider impaired by alcohol,E12000002,North West,E10000006,Cumbria,44
Impairment or distraction,Driver/Rider impaired by drugs (illicit or medicinal),E12000002,North West,E10000006,Cumbria,21
Impairment or distraction,Fatigue,E12000002,North West,E10000006,Cumbria,8
Impairment or distraction,"Uncorrected, defective eyesight",E12000002,North West,E10000006,Cumbria,1
Impairment or distraction,"Driver/Rider illness or disability, mental or physical",E12000002,North West,E10000006,Cumbria,17
Impairment or distraction,Not displaying lights at night or in poor visibility,E12000002,North West,E10000006,Cumbria,0
Impairment or distraction,Rider wearing dark clothing,E12000002,North West,E10000006,Cumbria,1
Impairment or distraction,Driver using mobile phone,E12000002,North West,E10000006,Cumbria,4
Impairment or distraction,Distraction in vehicle,E12000002,North West,E10000006,Cumbria,27
Impairment or distraction,Distraction outside vehicle,E12000002,North West,E10000006,Cumbria,9
Behaviour or inexperience,Behaviour or inexperience,E12000002,North West,E10000006,Cumbria,168
Behaviour or inexperience,Aggressive driving,E12000002,North West,E10000006,Cumbria,13
Behaviour or inexperience,"Driver/Rider careless, reckless or in a hurry",E12000002,North West,E10000006,Cumbria,133
Behaviour or inexperience,"Driver/Rider nervous, uncertain or panic",E12000002,North West,E10000006,Cumbria,14
Behaviour or inexperience,Driving too slow for conditions or slow veh (eg tractor),E12000002,North West,E10000006,Cumbria,0
Behaviour or inexperience,Learner or inexperienced driver/rider,E12000002,North West,E10000006,Cumbria,30
Behaviour or inexperience,Inexperience of driving on the left,E12000002,North West,E10000006,Cumbria,1
Behaviour or inexperience,Unfamiliar with model of vehicle,E12000002,North West,E10000006,Cumbria,2
Vision affected by external factors,Vision affected by external factors,E12000002,North West,E10000006,Cumbria,75
Vision affected by external factors,Stationary or parked vehicle(s),E12000002,North West,E10000006,Cumbria,11
Vision affected by external factors,Vegetation,E12000002,North West,E10000006,Cumbria,2
Vision affected by external factors,"Road layout (eg. bend, winding road, hill crest)",E12000002,North West,E10000006,Cumbria,7
Vision affected by external factors,"Buildings, road signs, street furniture",E12000002,North West,E10000006,Cumbria,1
Vision affected by external factors,Dazzling headlights,E12000002,North West,E10000006,Cumbria,1
Vision affected by external factors,Dazzling sun,E12000002,North West,E10000006,Cumbria,25
Vision affected by external factors,"Rain, sleet, snow, or fog",E12000002,North West,E10000006,Cumbria,24
Vision affected by external factors,Spray from other vehicles,E12000002,North West,E10000006,Cumbria,4
Vision affected by external factors,"Visor or windscreen dirty, scratched or frosted etc.",E12000002,North West,E10000006,Cumbria,2
Vision affected by external factors,Vehicle blind spot,E12000002,North West,E10000006,Cumbria,2
Pedestrian only (casualty or uninjured),Pedestrian only (casualty or uninjured),E12000002,North West,E10000006,Cumbria,66
Pedestrian only (casualty or uninjured),Crossing road masked by stationary or parked vehicle,E12000002,North West,E10000006,Cumbria,9
Pedestrian only (casualty or uninjured),Pedestrian failed to look properly,E12000002,North West,E10000006,Cumbria,37
Pedestrian only (casualty or uninjured),Pedestrian failed to judge vehicle`s path or speed,E12000002,North West,E10000006,Cumbria,11
Pedestrian only (casualty or uninjured),Pedestrian wrong use of pedestrian crossing facility,E12000002,North West,E10000006,Cumbria,1
Pedestrian only (casualty or uninjured),Dangerous action in carriageway (eg. playing),E12000002,North West,E10000006,Cumbria,5
Pedestrian only (casualty or uninjured),Pedestrian impaired by alcohol,E12000002,North West,E10000006,Cumbria,10
Pedestrian only (casualty or uninjured),Pedestrian impaired by drugs (illicit or medicinal),E12000002,North West,E10000006,Cumbria,2
Pedestrian only (casualty or uninjured),"Pedestrian careless, reckless or in a hurry",E12000002,North West,E10000006,Cumbria,21
Pedestrian only (casualty or uninjured),Pedestrian wearing dark clothing at night,E12000002,North West,E10000006,Cumbria,7
Pedestrian only (casualty or uninjured),"Pedestrian disability or illness, mental or physical",E12000002,North West,E10000006,Cumbria,4
Special codes,Special Codes,E12000002,North West,E10000006,Cumbria,24
Special codes,Stolen vehicle,E12000002,North West,E10000006,Cumbria,1
Special codes,Vehicle in course of crime,E12000002,North West,E10000006,Cumbria,3
Special codes,Emergency vehicle on a call,E12000002,North West,E10000006,Cumbria,2
Special codes,Vehicle door opened or closed negligently,E12000002,North West,E10000006,Cumbria,1
Special codes,Other,E12000002,North West,E10000006,Cumbria,17
Any CF,Any CF,E12000002,North West,E10000006,Cumbria,570
Road environment contributed,Road environment contributed,E12000002,North West,E06000006,Halton,14
Road environment contributed,Poor or defective road surface ,E12000002,North West,E06000006,Halton,0
Road environment contributed,"Deposit on road (eg. oil, mud, chippings)",E12000002,North West,E06000006,Halton,2
Road environment contributed,Slippery road (due to weather),E12000002,North West,E06000006,Halton,5
Road environment contributed,Inadequate or masked signs or road markings,E12000002,North West,E06000006,Halton,0
Road environment contributed,Defective traffic signals,E12000002,North West,E06000006,Halton,2
Road environment contributed,"Traffic calming (eg. road humps, chicane)",E12000002,North West,E06000006,Halton,0
Road environment contributed,Temporary road layout (eg. contraflow),E12000002,North West,E06000006,Halton,0
Road environment contributed,"Road layout (eg. bend, hill, narrow road)",E12000002,North West,E06000006,Halton,5
Road environment contributed,Animal or object in carriageway ,E12000002,North West,E06000006,Halton,0
Road environment contributed,Slippery inspection cover or road marking,E12000002,North West,E06000006,Halton,0
Vehicle defects,Vehicle defects,E12000002,North West,E06000006,Halton,2
Vehicle defects,"Tyres illegal, defective or under inflated",E12000002,North West,E06000006,Halton,0
Vehicle defects,Defective lights or indicators,E12000002,North West,E06000006,Halton,0
Vehicle defects,Defective brakes,E12000002,North West,E06000006,Halton,1
Vehicle defects,Defective steering or suspension,E12000002,North West,E06000006,Halton,0
Vehicle defects,Defective or missing mirrors,E12000002,North West,E06000006,Halton,0
Vehicle defects,Overloaded or poorly loaded vehicle or trailer,E12000002,North West,E06000006,Halton,1
Injudicious decision,Injudicious action,E12000002,North West,E06000006,Halton,28
Injudicious decision,Disobeyed automatic traffic signal,E12000002,North West,E06000006,Halton,6
Injudicious decision,Disobeyed 'Give Way' or 'Stop' sign or markings,E12000002,North West,E06000006,Halton,3
Injudicious decision,Disobeyed double white lines,E12000002,North West,E06000006,Halton,0
Injudicious decision,Disobeyed pedestrian crossing facility,E12000002,North West,E06000006,Halton,1
Injudicious decision,Illegal turn or direction of travel,E12000002,North West,E06000006,Halton,1
Injudicious decision,Exceeding speed limit,E12000002,North West,E06000006,Halton,5
Injudicious decision,Travelling too fast for conditions,E12000002,North West,E06000006,Halton,8
Injudicious decision,Following too close,E12000002,North West,E06000006,Halton,6
Injudicious decision,Vehicle travelling along pavement,E12000002,North West,E06000006,Halton,0
Injudicious decision,Cyclist entering road from pavement,E12000002,North West,E06000006,Halton,2
Driver or rider error or reaction,Driver/Rider error or reaction,E12000002,North West,E06000006,Halton,83
Driver or rider error or reaction,Junction overshoot,E12000002,North West,E06000006,Halton,5
Driver or rider error or reaction,Junction restart (moving off at junction),E12000002,North West,E06000006,Halton,5
Driver or rider error or reaction,Poor turn or manoeuvre,E12000002,North West,E06000006,Halton,16
Driver or rider error or reaction,Failed to signal or misleading signal,E12000002,North West,E06000006,Halton,3
Driver or rider error or reaction,Driver/Rider failed to look properly,E12000002,North West,E06000006,Halton,48
Driver or rider error or reaction,Driver/Rider failed to judge other person`s path or speed,E12000002,North West,E06000006,Halton,35
Driver or rider error or reaction,"Too close to cyclist, horse rider or pedestrian",E12000002,North West,E06000006,Halton,1
Driver or rider error or reaction,Sudden braking,E12000002,North West,E06000006,Halton,7
Driver or rider error or reaction,Swerved,E12000002,North West,E06000006,Halton,2
Driver or rider error or reaction,Loss of control,E12000002,North West,E06000006,Halton,11
Impairment or distraction,Impairment or distraction,E12000002,North West,E06000006,Halton,16
Impairment or distraction,Driver/Rider impaired by alcohol,E12000002,North West,E06000006,Halton,5
Impairment or distraction,Driver/Rider impaired by drugs (illicit or medicinal),E12000002,North West,E06000006,Halton,2
Impairment or distraction,Fatigue,E12000002,North West,E06000006,Halton,2
Impairment or distraction,"Uncorrected, defective eyesight",E12000002,North West,E06000006,Halton,0
Impairment or distraction,"Driver/Rider illness or disability, mental or physical",E12000002,North West,E06000006,Halton,3
Impairment or distraction,Not displaying lights at night or in poor visibility,E12000002,North West,E06000006,Halton,2
Impairment or distraction,Rider wearing dark clothing,E12000002,North West,E06000006,Halton,2
Impairment or distraction,Driver using mobile phone,E12000002,North West,E06000006,Halton,0
Impairment or distraction,Distraction in vehicle,E12000002,North West,E06000006,Halton,5
Impairment or distraction,Distraction outside vehicle,E12000002,North West,E06000006,Halton,0
Behaviour or inexperience,Behaviour or inexperience,E12000002,North West,E06000006,Halton,13
Behaviour or inexperience,Aggressive driving,E12000002,North West,E06000006,Halton,3
Behaviour or inexperience,"Driver/Rider careless, reckless or in a hurry",E12000002,North West,E06000006,Halton,7
Behaviour or inexperience,"Driver/Rider nervous, uncertain or panic",E12000002,North West,E06000006,Halton,0
Behaviour or inexperience,Driving too slow for conditions or slow veh (eg tractor),E12000002,North West,E06000006,Halton,0
Behaviour or inexperience,Learner or inexperienced driver/rider,E12000002,North West,E06000006,Halton,4
Behaviour or inexperience,Inexperience of driving on the left,E12000002,North West,E06000006,Halton,0
Behaviour or inexperience,Unfamiliar with model of vehicle,E12000002,North West,E06000006,Halton,0
Vision affected by external factors,Vision affected by external factors,E12000002,North West,E06000006,Halton,17
Vision affected by external factors,Stationary or parked vehicle(s),E12000002,North West,E06000006,Halton,8
Vision affected by external factors,Vegetation,E12000002,North West,E06000006,Halton,0
Vision affected by external factors,"Road layout (eg. bend, winding road, hill crest)",E12000002,North West,E06000006,Halton,1
Vision affected by external factors,"Buildings, road signs, street furniture",E12000002,North West,E06000006,Halton,0
Vision affected by external factors,Dazzling headlights,E12000002,North West,E06000006,Halton,0
Vision affected by external factors,Dazzling sun,E12000002,North West,E06000006,Halton,7
Vision affected by external factors,"Rain, sleet, snow, or fog",E12000002,North West,E06000006,Halton,1
Vision affected by external factors,Spray from other vehicles,E12000002,North West,E06000006,Halton,0
Vision affected by external factors,"Visor or windscreen dirty, scratched or frosted etc.",E12000002,North West,E06000006,Halton,0
Vision affected by external factors,Vehicle blind spot,E12000002,North West,E06000006,Halton,1
Pedestrian only (casualty or uninjured),Pedestrian only (casualty or uninjured),E12000002,North West,E06000006,Halton,9
Pedestrian only (casualty or uninjured),Crossing road masked by stationary or parked vehicle,E12000002,North West,E06000006,Halton,3
Pedestrian only (casualty or uninjured),Pedestrian failed to look properly,E12000002,North West,E06000006,Halton,4
Pedestrian only (casualty or uninjured),Pedestrian failed to judge vehicle`s path or speed,E12000002,North West,E06000006,Halton,2
Pedestrian only (casualty or uninjured),Pedestrian wrong use of pedestrian crossing facility,E12000002,North West,E06000006,Halton,0
Pedestrian only (casualty or uninjured),Dangerous action in carriageway (eg. playing),E12000002,North West,E06000006,Halton,2
Pedestrian only (casualty or uninjured),Pedestrian impaired by alcohol,E12000002,North West,E06000006,Halton,0
Pedestrian only (casualty or uninjured),Pedestrian impaired by drugs (illicit or medicinal),E12000002,North West,E06000006,Halton,0
Pedestrian only (casualty or uninjured),"Pedestrian careless, reckless or in a hurry",E12000002,North West,E06000006,Halton,3
Pedestrian only (casualty or uninjured),Pedestrian wearing dark clothing at night,E12000002,North West,E06000006,Halton,1
Pedestrian only (casualty or uninjured),"Pedestrian disability or illness, mental or physical",E12000002,North West,E06000006,Halton,0
Special codes,Special Codes,E12000002,North West,E06000006,Halton,7
Special codes,Stolen vehicle,E12000002,North West,E06000006,Halton,0
Special codes,Vehicle in course of crime,E12000002,North West,E06000006,Halton,2
Special codes,Emergency vehicle on a call,E12000002,North West,E06000006,Halton,1
Special codes,Vehicle door opened or closed negligently,E12000002,North West,E06000006,Halton,1
Special codes,Other,E12000002,North West,E06000006,Halton,3
Any CF,Any CF,E12000002,North West,E06000006,Halton,115
Road environment contributed,Road environment contributed,E12000002,North West,E08000011,Knowsley,9
Road environment contributed,Poor or defective road surface ,E12000002,North West,E08000011,Knowsley,0
Road environment contributed,"Deposit on road (eg. oil, mud, chippings)",E12000002,North West,E08000011,Knowsley,1
Road environment contributed,Slippery road (due to weather),E12000002,North West,E08000011,Knowsley,7
Road environment contributed,Inadequate or masked signs or road markings,E12000002,North West,E08000011,Knowsley,0
Road environment contributed,Defective traffic signals,E12000002,North West,E08000011,Knowsley,1
Road environment contributed,"Traffic calming (eg. road humps, chicane)",E12000002,North West,E08000011,Knowsley,0
Road environment contributed,Temporary road layout (eg. contraflow),E12000002,North West,E08000011,Knowsley,0
Road environment contributed,"Road layout (eg. bend, hill, narrow road)",E12000002,North West,E08000011,Knowsley,2
Road environment contributed,Animal or object in carriageway ,E12000002,North West,E08000011,Knowsley,0
Road environment contributed,Slippery inspection cover or road marking,E12000002,North West,E08000011,Knowsley,0
Vehicle defects,Vehicle defects,E12000002,North West,E08000011,Knowsley,3
Vehicle defects,"Tyres illegal, defective or under inflated",E12000002,North West,E08000011,Knowsley,1
Vehicle defects,Defective lights or indicators,E12000002,North West,E08000011,Knowsley,0
Vehicle defects,Defective brakes,E12000002,North West,E08000011,Knowsley,1
Vehicle defects,Defective steering or suspension,E12000002,North West,E08000011,Knowsley,1
Vehicle defects,Defective or missing mirrors,E12000002,North West,E08000011,Knowsley,0
Vehicle defects,Overloaded or poorly loaded vehicle or trailer,E12000002,North West,E08000011,Knowsley,0
Injudicious decision,Injudicious action,E12000002,North West,E08000011,Knowsley,28
Injudicious decision,Disobeyed automatic traffic signal,E12000002,North West,E08000011,Knowsley,1
Injudicious decision,Disobeyed 'Give Way' or 'Stop' sign or markings,E12000002,North West,E08000011,Knowsley,4
Injudicious decision,Disobeyed double white lines,E12000002,North West,E08000011,Knowsley,0
Injudicious decision,Disobeyed pedestrian crossing facility,E12000002,North West,E08000011,Knowsley,0
Injudicious decision,Illegal turn or direction of travel,E12000002,North West,E08000011,Knowsley,0
Injudicious decision,Exceeding speed limit,E12000002,North West,E08000011,Knowsley,9
Injudicious decision,Travelling too fast for conditions,E12000002,North West,E08000011,Knowsley,9
Injudicious decision,Following too close,E12000002,North West,E08000011,Knowsley,4
Injudicious decision,Vehicle travelling along pavement,E12000002,North West,E08000011,Knowsley,0
Injudicious decision,Cyclist entering road from pavement,E12000002,North West,E08000011,Knowsley,3
Driver or rider error or reaction,Driver/Rider error or reaction,E12000002,North West,E08000011,Knowsley,58
Driver or rider error or reaction,Junction overshoot,E12000002,North West,E08000011,Knowsley,0
Driver or rider error or reaction,Junction restart (moving off at junction),E12000002,North West,E08000011,Knowsley,0
Driver or rider error or reaction,Poor turn or manoeuvre,E12000002,North West,E08000011,Knowsley,13
Driver or rider error or reaction,Failed to signal or misleading signal,E12000002,North West,E08000011,Knowsley,1
Driver or rider error or reaction,Driver/Rider failed to look properly,E12000002,North West,E08000011,Knowsley,35
Driver or rider error or reaction,Driver/Rider failed to judge other person`s path or speed,E12000002,North West,E08000011,Knowsley,23
Driver or rider error or reaction,"Too close to cyclist, horse rider or pedestrian",E12000002,North West,E08000011,Knowsley,2
Driver or rider error or reaction,Sudden braking,E12000002,North West,E08000011,Knowsley,0
Driver or rider error or reaction,Swerved,E12000002,North West,E08000011,Knowsley,3
Driver or rider error or reaction,Loss of control,E12000002,North West,E08000011,Knowsley,8
Impairment or distraction,Impairment or distraction,E12000002,North West,E08000011,Knowsley,10
Impairment or distraction,Driver/Rider impaired by alcohol,E12000002,North West,E08000011,Knowsley,4
Impairment or distraction,Driver/Rider impaired by drugs (illicit or medicinal),E12000002,North West,E08000011,Knowsley,5
Impairment or distraction,Fatigue,E12000002,North West,E08000011,Knowsley,0
Impairment or distraction,"Uncorrected, defective eyesight",E12000002,North West,E08000011,Knowsley,0
Impairment or distraction,"Driver/Rider illness or disability, mental or physical",E12000002,North West,E08000011,Knowsley,1
Impairment or distraction,Not displaying lights at night or in poor visibility,E12000002,North West,E08000011,Knowsley,0
Impairment or distraction,Rider wearing dark clothing,E12000002,North West,E08000011,Knowsley,0
Impairment or distraction,Driver using mobile phone,E12000002,North West,E08000011,Knowsley,0
Impairment or distraction,Distraction in vehicle,E12000002,North West,E08000011,Knowsley,0
Impairment or distraction,Distraction outside vehicle,E12000002,North West,E08000011,Knowsley,0
Behaviour or inexperience,Behaviour or inexperience,E12000002,North West,E08000011,Knowsley,16
Behaviour or inexperience,Aggressive driving,E12000002,North West,E08000011,Knowsley,3
Behaviour or inexperience,"Driver/Rider careless, reckless or in a hurry",E12000002,North West,E08000011,Knowsley,11
Behaviour or inexperience,"Driver/Rider nervous, uncertain or panic",E12000002,North West,E08000011,Knowsley,1
Behaviour or inexperience,Driving too slow for conditions or slow veh (eg tractor),E12000002,North West,E08000011,Knowsley,0
Behaviour or inexperience,Learner or inexperienced driver/rider,E12000002,North West,E08000011,Knowsley,2
Behaviour or inexperience,Inexperience of driving on the left,E12000002,North West,E08000011,Knowsley,0
Behaviour or inexperience,Unfamiliar with model of vehicle,E12000002,North West,E08000011,Knowsley,0
Vision affected by external factors,Vision affected by external factors,E12000002,North West,E08000011,Knowsley,3
Vision affected by external factors,Stationary or parked vehicle(s),E12000002,North West,E08000011,Knowsley,0
Vision affected by external factors,Vegetation,E12000002,North West,E08000011,Knowsley,0
Vision affected by external factors,"Road layout (eg. bend, winding road, hill crest)",E12000002,North West,E08000011,Knowsley,1
Vision affected by external factors,"Buildings, road signs, street furniture",E12000002,North West,E08000011,Knowsley,0
Vision affected by external factors,Dazzling headlights,E12000002,North West,E08000011,Knowsley,1
Vision affected by external factors,Dazzling sun,E12000002,North West,E08000011,Knowsley,1
Vision affected by external factors,"Rain, sleet, snow, or fog",E12000002,North West,E08000011,Knowsley,0
Vision affected by external factors,Spray from other vehicles,E12000002,North West,E08000011,Knowsley,0
Vision affected by external factors,"Visor or windscreen dirty, scratched or frosted etc.",E12000002,North West,E08000011,Knowsley,0
Vision affected by external factors,Vehicle blind spot,E12000002,North West,E08000011,Knowsley,0
Pedestrian only (casualty or uninjured),Pedestrian only (casualty or uninjured),E12000002,North West,E08000011,Knowsley,16
Pedestrian only (casualty or uninjured),Crossing road masked by stationary or parked vehicle,E12000002,North West,E08000011,Knowsley,1
Pedestrian only (casualty or uninjured),Pedestrian failed to look properly,E12000002,North West,E08000011,Knowsley,10
Pedestrian only (casualty or uninjured),Pedestrian failed to judge vehicle`s path or speed,E12000002,North West,E08000011,Knowsley,7
Pedestrian only (casualty or uninjured),Pedestrian wrong use of pedestrian crossing facility,E12000002,North West,E08000011,Knowsley,2
Pedestrian only (casualty or uninjured),Dangerous action in carriageway (eg. playing),E12000002,North West,E08000011,Knowsley,1
Pedestrian only (casualty or uninjured),Pedestrian impaired by alcohol,E12000002,North West,E08000011,Knowsley,3
Pedestrian only (casualty or uninjured),Pedestrian impaired by drugs (illicit or medicinal),E12000002,North West,E08000011,Knowsley,1
Pedestrian only (casualty or uninjured),"Pedestrian careless, reckless or in a hurry",E12000002,North West,E08000011,Knowsley,3
Pedestrian only (casualty or uninjured),Pedestrian wearing dark clothing at night,E12000002,North West,E08000011,Knowsley,1
Pedestrian only (casualty or uninjured),"Pedestrian disability or illness, mental or physical",E12000002,North West,E08000011,Knowsley,0
Special codes,Special Codes,E12000002,North West,E08000011,Knowsley,9
Special codes,Stolen vehicle,E12000002,North West,E08000011,Knowsley,3
Special codes,Vehicle in course of crime,E12000002,North West,E08000011,Knowsley,5
Special codes,Emergency vehicle on a call,E12000002,North West,E08000011,Knowsley,0
Special codes,Vehicle door opened or closed negligently,E12000002,North West,E08000011,Knowsley,0
Special codes,Other,E12000002,North West,E08000011,Knowsley,2
Any CF,Any CF,E12000002,North West,E08000011,Knowsley,104
Road environment contributed,Road environment contributed,E12000002,North West,E10000017,Lancashire,125
Road environment contributed,Poor or defective road surface ,E12000002,North West,E10000017,Lancashire,7
Road environment contributed,"Deposit on road (eg. oil, mud, chippings)",E12000002,North West,E10000017,Lancashire,24
Road environment contributed,Slippery road (due to weather),E12000002,North West,E10000017,Lancashire,58
Road environment contributed,Inadequate or masked signs or road markings,E12000002,North West,E10000017,Lancashire,5
Road environment contributed,Defective traffic signals,E12000002,North West,E10000017,Lancashire,1
Road environment contributed,"Traffic calming (eg. road humps, chicane)",E12000002,North West,E10000017,Lancashire,0
Road environment contributed,Temporary road layout (eg. contraflow),E12000002,North West,E10000017,Lancashire,2
Road environment contributed,"Road layout (eg. bend, hill, narrow road)",E12000002,North West,E10000017,Lancashire,16
Road environment contributed,Animal or object in carriageway ,E12000002,North West,E10000017,Lancashire,18
Road environment contributed,Slippery inspection cover or road marking,E12000002,North West,E10000017,Lancashire,1
Vehicle defects,Vehicle defects,E12000002,North West,E10000017,Lancashire,28
Vehicle defects,"Tyres illegal, defective or under inflated",E12000002,North West,E10000017,Lancashire,7
Vehicle defects,Defective lights or indicators,E12000002,North West,E10000017,Lancashire,1
Vehicle defects,Defective brakes,E12000002,North West,E10000017,Lancashire,18
Vehicle defects,Defective steering or suspension,E12000002,North West,E10000017,Lancashire,3
Vehicle defects,Defective or missing mirrors,E12000002,North West,E10000017,Lancashire,0
Vehicle defects,Overloaded or poorly loaded vehicle or trailer,E12000002,North West,E10000017,Lancashire,2
Injudicious decision,Injudicious action,E12000002,North West,E10000017,Lancashire,259
Injudicious decision,Disobeyed automatic traffic signal,E12000002,North West,E10000017,Lancashire,19
Injudicious decision,Disobeyed 'Give Way' or 'Stop' sign or markings,E12000002,North West,E10000017,Lancashire,56
Injudicious decision,Disobeyed double white lines,E12000002,North West,E10000017,Lancashire,3
Injudicious decision,Disobeyed pedestrian crossing facility,E12000002,North West,E10000017,Lancashire,4
Injudicious decision,Illegal turn or direction of travel,E12000002,North West,E10000017,Lancashire,14
Injudicious decision,Exceeding speed limit,E12000002,North West,E10000017,Lancashire,81
Injudicious decision,Travelling too fast for conditions,E12000002,North West,E10000017,Lancashire,54
Injudicious decision,Following too close,E12000002,North West,E10000017,Lancashire,36
Injudicious decision,Vehicle travelling along pavement,E12000002,North West,E10000017,Lancashire,2
Injudicious decision,Cyclist entering road from pavement,E12000002,North West,E10000017,Lancashire,14
Driver or rider error or reaction,Driver/Rider error or reaction,E12000002,North West,E10000017,Lancashire,699
Driver or rider error or reaction,Junction overshoot,E12000002,North West,E10000017,Lancashire,16
Driver or rider error or reaction,Junction restart (moving off at junction),E12000002,North West,E10000017,Lancashire,6
Driver or rider error or reaction,Poor turn or manoeuvre,E12000002,North West,E10000017,Lancashire,36
Driver or rider error or reaction,Failed to signal or misleading signal,E12000002,North West,E10000017,Lancashire,12
Driver or rider error or reaction,Driver/Rider failed to look properly,E12000002,North West,E10000017,Lancashire,380
Driver or rider error or reaction,Driver/Rider failed to judge other person`s path or speed,E12000002,North West,E10000017,Lancashire,211
Driver or rider error or reaction,"Too close to cyclist, horse rider or pedestrian",E12000002,North West,E10000017,Lancashire,9
Driver or rider error or reaction,Sudden braking,E12000002,North West,E10000017,Lancashire,24
Driver or rider error or reaction,Swerved,E12000002,North West,E10000017,Lancashire,20
Driver or rider error or reaction,Loss of control,E12000002,North West,E10000017,Lancashire,161
Impairment or distraction,Impairment or distraction,E12000002,North West,E10000017,Lancashire,225
Impairment or distraction,Driver/Rider impaired by alcohol,E12000002,North West,E10000017,Lancashire,77
Impairment or distraction,Driver/Rider impaired by drugs (illicit or medicinal),E12000002,North West,E10000017,Lancashire,38
Impairment or distraction,Fatigue,E12000002,North West,E10000017,Lancashire,13
Impairment or distraction,"Uncorrected, defective eyesight",E12000002,North West,E10000017,Lancashire,1
Impairment or distraction,"Driver/Rider illness or disability, mental or physical",E12000002,North West,E10000017,Lancashire,41
Impairment or distraction,Not displaying lights at night or in poor visibility,E12000002,North West,E10000017,Lancashire,2
Impairment or distraction,Rider wearing dark clothing,E12000002,North West,E10000017,Lancashire,0
Impairment or distraction,Driver using mobile phone,E12000002,North West,E10000017,Lancashire,3
Impairment or distraction,Distraction in vehicle,E12000002,North West,E10000017,Lancashire,47
Impairment or distraction,Distraction outside vehicle,E12000002,North West,E10000017,Lancashire,25
Behaviour or inexperience,Behaviour or inexperience,E12000002,North West,E10000017,Lancashire,545
Behaviour or inexperience,Aggressive driving,E12000002,North West,E10000017,Lancashire,80
Behaviour or inexperience,"Driver/Rider careless, reckless or in a hurry",E12000002,North West,E10000017,Lancashire,461
Behaviour or inexperience,"Driver/Rider nervous, uncertain or panic",E12000002,North West,E10000017,Lancashire,22
Behaviour or inexperience,Driving too slow for conditions or slow veh (eg tractor),E12000002,North West,E10000017,Lancashire,3
Behaviour or inexperience,Learner or inexperienced driver/rider,E12000002,North West,E10000017,Lancashire,34
Behaviour or inexperience,Inexperience of driving on the left,E12000002,North West,E10000017,Lancashire,2
Behaviour or inexperience,Unfamiliar with model of vehicle,E12000002,North West,E10000017,Lancashire,8
Vision affected by external factors,Vision affected by external factors,E12000002,North West,E10000017,Lancashire,155
Vision affected by external factors,Stationary or parked vehicle(s),E12000002,North West,E10000017,Lancashire,22
Vision affected by external factors,Vegetation,E12000002,North West,E10000017,Lancashire,1
Vision affected by external factors,"Road layout (eg. bend, winding road, hill crest)",E12000002,North West,E10000017,Lancashire,10
Vision affected by external factors,"Buildings, road signs, street furniture",E12000002,North West,E10000017,Lancashire,8
Vision affected by external factors,Dazzling headlights,E12000002,North West,E10000017,Lancashire,6
Vision affected by external factors,Dazzling sun,E12000002,North West,E10000017,Lancashire,56
Vision affected by external factors,"Rain, sleet, snow, or fog",E12000002,North West,E10000017,Lancashire,45
Vision affected by external factors,Spray from other vehicles,E12000002,North West,E10000017,Lancashire,2
Vision affected by external factors,"Visor or windscreen dirty, scratched or frosted etc.",E12000002,North West,E10000017,Lancashire,3
Vision affected by external factors,Vehicle blind spot,E12000002,North West,E10000017,Lancashire,9
Pedestrian only (casualty or uninjured),Pedestrian only (casualty or uninjured),E12000002,North West,E10000017,Lancashire,133
Pedestrian only (casualty or uninjured),Crossing road masked by stationary or parked vehicle,E12000002,North West,E10000017,Lancashire,22
Pedestrian only (casualty or uninjured),Pedestrian failed to look properly,E12000002,North West,E10000017,Lancashire,68
Pedestrian only (casualty or uninjured),Pedestrian failed to judge vehicle`s path or speed,E12000002,North West,E10000017,Lancashire,20
Pedestrian only (casualty or uninjured),Pedestrian wrong use of pedestrian crossing facility,E12000002,North West,E10000017,Lancashire,3
Pedestrian only (casualty or uninjured),Dangerous action in carriageway (eg. playing),E12000002,North West,E10000017,Lancashire,11
Pedestrian only (casualty or uninjured),Pedestrian impaired by alcohol,E12000002,North West,E10000017,Lancashire,14
Pedestrian only (casualty or uninjured),Pedestrian impaired by drugs (illicit or medicinal),E12000002,North West,E10000017,Lancashire,4
Pedestrian only (casualty or uninjured),"Pedestrian careless, reckless or in a hurry",E12000002,North West,E10000017,Lancashire,52
Pedestrian only (casualty or uninjured),Pedestrian wearing dark clothing at night,E12000002,North West,E10000017,Lancashire,7
Pedestrian only (casualty or uninjured),"Pedestrian disability or illness, mental or physical",E12000002,North West,E10000017,Lancashire,3
Special codes,Special Codes,E12000002,North West,E10000017,Lancashire,89
